Saint Name	Year of Death	Famous Quote	Patron Saint Of
St. Gianna Beretta Molla	1962	Love and sacrifice are closely linked, like the sun and the light.	Mothers, Unborn Children
St. Oscar Romero	1980	Aspire not to have more, but to be more.	El Salvador, Persecuted Christians
St. Lawrence	258	I am roasted enough on this side; turn me over.	Cooks, Comedians
St. Monica	387	Nothing is far from God.	Difficult Marriages, Mothers
St. Jerome	420	Ignorance of Scripture is ignorance of Christ.	Librarians, Translators
St. Gregory the Great	604	The proof of love is in the works.	Musicians, Singers
St. Boniface	754	The Church is like a great ship being pounded by the waves.	Germany, Brewers
St. Thomas More	1535	I die the King's good servant, and God's first.	Statesmen, Lawyers
St. Rita of Cascia	1457	There is no problem, I tell you, no matter how difficult it is, that we cannot resolve by the prayer of the Holy Rosary.	Impossible Causes
St. Philip Neri	1595	Cheerfulness strengthens the heart and makes us persevere.	Joy, Humility
St. Isaac Jogues	1646	My confidence is in God who does not need our help for the execution of His designs.	Americas
St. Kateri Tekakwitha	1680	Who will teach me what is most agreeable to God that I may do it?	Environment, Ecology
St. Damien of Molokai	1889	My greatest pleasure is to go there to help the poor lepers.	Lepers, Outcasts
St. Marianne Cope	1918	I am not afraid of any disease.	Lepers, Hawaii
St. Maria Goretti	1902	I forgive Alessandro Serenelli with all my heart.	Youth, Forgiveness
St. Josemaria Escriva	1975	Abandonment to the will of God is the secret of happiness on earth.	Ordinary Life
St. Edith Stein	1942	The world is on fire.	Europe, Martyrs
St. John of the Cross	1591	In the evening of life, we will be judged on love alone.	Mystics, Poets
St. Charles Borromeo	1584	Be sure that you first preach by the way you live.	Catechists, Seminarians
St. Clare of Assisi	1253	Love Him totally, who gave Himself totally for your love.	Television, Embroiderers
St. Polycarp	155	Eighty and six years have I served Him, and He never did me any injury.	Earaches
St. Irenaeus	202	The glory of God is man fully alive.	Theologians
St. Justin Martyr	165	We call this food Eucharist.	Philosophers
St. Blaise	316	Through the intercession of St. Blaise, may God deliver you from every disease of the throat.	Throat Ailments
St. Helena	330	I sought for the cross of the Savior.	Archaeologists, Divorced People
St. Anthony the Great	356	The devil is afraid of us when we pray and make sacrifices.	Skin Diseases
St. Athanasius	373	The Son of God became man so that we might become God.	Theologians
St. Basil the Great	379	A tree is known by its fruit; a man by his deeds.	Hospital Administrators
St. John Chrysostom	407	Prayer is the root, the fountain, the mother of a thousand blessings.	Preachers
St. Leo the Great	461	Christian, recognize your dignity.	Popes
St. Columba	597	My spirit is glad, my heart is light.	Scotland, Poets
St. Kevin of Glendalough	618	God is everywhere.	Dublin, Blackbirds
St. Hilda of Whitby	680	Keep peace and charity among yourselves.	Learning, Culture
St. Bede the Venerable	735	Unfurl the sails, and let God steer us where He will.	Scholars, Historians
St. Bruno	1101	While the world changes, the Cross stands firm.	Exorcists
St. Bernard of Clairvaux	1153	The measure of loving God is to love Him without measure.	Beekeepers, Candlemakers
St. Hildegard von Bingen	1179	The soul is a symphonic victory.	Musicians, Writers
St. Albert the Great	1280	Do this in remembrance of Me.	Scientists, Philosophers
St. Elizabeth of Hungary	1231	We must give what we have to the poor.	Hospitals, Bakers
St. Bridget of Sweden	1373	The true wisdom is to know how to do good.	Europe, Widows
St. Casimir	1484	After God, the Virgin Mary is the most to be loved.	Lithuania, Youth
St. John Fisher	1535	I am a condemned man, but I will not deny the truth.	Lawyers
St. Edmund Campion	1581	The expense is reckoned, the enterprise is begun.	Press
St. Aloysius Gonzaga	1591	I am a piece of twisted iron; I entered the religious life to get untwisted.	Young Students, Plague Victims
St. Camillus de Lellis	1614	More heart in those hands!	Hospitals, Nurses
St. Peter Claver	1654	Slave of the slaves forever.	Race Relations
St. Margaret Mary Alacoque	1690	All for the Eucharist, nothing for me.	Devotion to the Sacred Heart
St. Paul of the Cross	1775	The Passion of Jesus is the greatest and most overwhelming work of God's love.	The Passion
St. Junípero Serra	1784	Always forward, never back.	California, Vocations
St. John Vianney	1859	The priesthood is the love of the heart of Jesus.	Parish Priests
St. Peter Julian Eymard	1868	Eucharistic oration is the greatest of all actions.	The Eucharist
St. Gemma Galgani	1903	If you really want to love Jesus, first learn to suffer.	Pharmacists, Paratroopers
St. Francesca Xavier Cabrini	1917	I can do all things in Him who strengthens me.	Immigrants
St. Giuseppe Moscati	1927	Charity will change the world.	Physicians
St. Riccardo Pampuri	1930	Our life must be a continuous hymn of gratitude to God.	Doctors
St. André Bessette	1937	Go to Joseph; he will help you.	The Afflicted
St. Katherine Drexel	1955	The patience and humility of the Heart of Jesus.	Philanthropists
St. Pius X	1914	To restore all things in Christ.	First Communicants
St. Jose Luis Sanchez del Rio	1928	Viva Cristo Rey!	Persecuted Christians
St. Laura Montoya	1949	I am a drop of water in the ocean of God's love.	Orphans
St. Dulce Pontes	1992	Love is the only thing that builds.	The Poor
St. Carlo Acutis	2006	The Eucharist is my highway to heaven.	The Internet
St. Josephine Bakhita	1947	O Lord, if I could fly to my people and tell them of your Goodness at the top of my voice: oh, how many souls would be won! 	Victims and survivors of human trafficking
